날짜,단어,의미
day01,provide,"[동] 공급하다, 준비하다"
day01,develop,"[동] 개발하다, 발달하다"
day01,service,"[명] 서비스, 근무, 공공업무"
day01,inform,"[동] 알리다, 통지하다"
day01,relationship,[명] 관계
day01,improve,"[동] 향상시키다, 향상하다"
day01,individual,"[형] 개인의, 개인적인[명] 개인"
day01,require,"[동] 요구하다, 필요로 하다"
day01,advise,"[동] 충고하다, 조언하다"
day01,social,"[형] 사회의, 사교적인"
day01,amount,"[명] 양, 총액, 총계[동] 총계가 ~이 되다"
day01,behave,[동] 행동하다
day01,employ,"[동] 고용하다, 쓰다"
day01,attitude,"[명] 태도, 입장"
day01,research,"[명] 연구하다, 조사하다[명] 연구"
day01,audience,"[명] 관객, 청중"
day01,volunteer,"[명] 지원자, 자원봉사[동] 지원하다"
day01,influence,"[명] 영향, 영향을 미치는 것[동] 영향을 끼치다"
day01,terrible,"[형] 끔직한, 무서운"
day01,opportunity,[명] 기회
day01,ability,[명] 능력
day01,expense,"[명] 비용, 지출"
day01,local,"[형] 지역의, 지방의, 장소의"
day01,involve,"[동] 관련되다, 포함하다, 말려들게 하다"
day01,stress,"[명] 스트레스, 강조[동] 강조하다, 압력을 주다"
day01,therefore,"[부] 그러므로, 그 결과"
day01,positive,"[형] 긍정적인, 확신하는"
day01,average,[형] 평균의[명] 평균[동] 평균 ~이다
day01,ride,"[동] 타다[명] 타기, 타고가기"
day01,encourage,"[동] 격려하다, 촉구하다"
day01,determine,"[동] 결정하다, 결심하다"
day01,international,"[형] 국제의, 국제적인"
day01,consume,"[동] 소비하다, 먹다"
day01,impress,"[동] 감동시키다, 깊은 인상을 주다"
day01,object,"[명] 물건, 목표[동] 반대하다"
day01,available,"[형] 이용할 가능한, 쓸모있는"
day01,contain,"[동] 함유하다, 포함하다, 억제하다"
day01,recognize,"[동] 인지하다, 인정하다"
day01,material,"[명] 재료, 물질[형] 물질의"
day01,comfort,"[명] 편안, 위로[동] 편안하게 하다, 위로하다"
day02,emotion,[명] 감정
day02,amaze,[동] 놀라게 하다
day02,reduce,[동] 줄이다
day02,discover,[동] 발견하다
day02,decide,[동] 결정하다
day02,benefit,[명] 이익[동] 이익이 되다
day02,affect,[동] 영향을 미치다
day02,level,"[명] 수준, 정도"
day02,chemistry,[명] 화학
day02,immediate,"[형] 직접의, 즉각적인"
day02,thus,"[부] 그러므로, 따라서"
day02,proper,[형] 적절한
day02,performance,"[명] 공연, 성과"
